CVCL_M611	Q54399869
CVCL_RL23	Q54399864
CVCL_VH34	Q54399998
CVCL_3628	Q54481866
CVCL_8029	Q54482041
CVCL_AP64	Q54423239
CVCL_B375	Q54422073
CVCL_J815	Q54481998
CVCL_S361	Q54481860
CVCL_H997	Q54554891
CVCL_VI25	Q54554893
CVCL_0071	Q54584999
CVCL_0079	Q54604500
CVCL_0111	Q54582221
CVCL_0113	Q54582906
CVCL_0120	Q54602659
CVCL_0121	Q54585565
CVCL_0131	Q54605968
CVCL_0134	Q54606559
CVCL_0B18	Q54582320
CVCL_0D71	Q54584291
CVCL_0E78	Q54606901
CVCL_0F04	Q54583677
CVCL_0I16	Q54605493
CVCL_0J78	Q54609910
CVCL_0J98	Q54610110
CVCL_0U09	Q54608593
CVCL_1051	Q54604950
CVCL_1067	Q54608371
CVCL_1800	Q54607858
CVCL_1804	Q54608366
CVCL_1934	Q54603511
CVCL_1949	Q54606084
CVCL_1B36	Q54604390
CVCL_1B47	Q54605631
CVCL_1D50	Q54584423
CVCL_1N36	Q54608782
CVCL_1P13	Q54607376
CVCL_1Q52	Q54604942
CVCL_2276	Q54582354
CVCL_2284	Q54583909
CVCL_2291	Q54604004
CVCL_2822	Q54604330
CVCL_2830	Q54607337
CVCL_2848	Q54607413
CVCL_2A55	Q54609938
CVCL_2A57	Q54609942
CVCL_2A59	Q54609946
CVCL_2A60	Q54609949
CVCL_2A64	Q54610051
CVCL_2A70	Q54610063
CVCL_2A71	Q54610065
CVCL_2A78	Q54610082
CVCL_2A92	Q54610251
CVCL_2A95	Q54610257
CVCL_2B12	Q54610316
CVCL_2B15	Q54610381
CVCL_2H66	Q54608074
CVCL_3356	Q54603038
CVCL_3482	Q54584464
CVCL_3635	Q54584603
CVCL_3636	Q54585544
CVCL_3637	Q54604196
CVCL_3893	Q54607227
CVCL_4065	Q54604324
CVCL_4075	Q54603226
CVCL_4089	Q54602856
CVCL_4091	Q54603840
CVCL_4408	Q54608901
CVCL_4484	Q54584848
CVCL_4501	Q54608877
CVCL_4689	Q54608844
CVCL_4810	Q54582061
CVCL_4820	Q54582086
CVCL_4822	Q54582095
CVCL_4825	Q54582101
CVCL_4T99	Q54606575
CVCL_JE28	Q54609529
CVCL_JY28	Q54581614
CVCL_JY60	Q54583747
CVCL_JY63	Q54583752
CVCL_JY65	Q54583755
CVCL_JY96	Q54584076
CVCL_JZ10	Q54584131
CVCL_K178	Q54609046
CVCL_K181	Q54609053
CVCL_K184	Q54609061
CVCL_K188	Q54609070
CVCL_KA98	Q54606623
CVCL_KB14	Q54608553
CVCL_KB79	Q54583357
CVCL_KR60	Q54584310
CVCL_KR95	Q54583805
CVCL_KS36	Q54607050
CVCL_L611	Q54609769
CVCL_L732	Q54602815
CVCL_L815	Q54609025
CVCL_L825	Q54609234
CVCL_L826	Q54609235
CVCL_L829	Q54609249
CVCL_L830	Q54609251
CVCL_L850	Q54608907
CVCL_L989	Q54606746
CVCL_LB76	Q54581804
CVCL_LB77	Q54583225
CVCL_LB93	Q54604194
CVCL_LC56	Q54584859
CVCL_LH42	Q54604168
CVCL_LI32	Q54606076
CVCL_LM91	Q54606069
CVCL_LN00	Q54606230
CVCL_LN02	Q54606234
CVCL_M029	Q54604624
CVCL_M230	Q54609731
CVCL_N282	Q54606406
CVCL_N284	Q54606448
CVCL_N504	Q54582760
CVCL_QX19	Q54604012
CVCL_QZ17	Q54602648
CVCL_QZ61	Q54603544
CVCL_QZ67	Q54606780
CVCL_QZ69	Q54606785
CVCL_R749	Q54606759
CVCL_R755	Q54606771
CVCL_RB23	Q54585286
CVCL_RB27	Q54585291
CVCL_RB30	Q54585297
CVCL_RN71	Q54608723
CVCL_RN79	Q54608734
CVCL_RP70	Q54607749
CVCL_RP73	Q54607755
CVCL_RS39	Q54583385
CVCL_RY67	Q54603489
CVCL_S487	Q54607725
CVCL_S505	Q54582201
CVCL_S540	Q54606881
CVCL_S909	Q54604927
CVCL_S910	Q54604928
CVCL_T354	Q54606202
CVCL_T729	Q54581775
CVCL_T975	Q54582944
CVCL_U076	Q54604601
CVCL_U203	Q54602698
CVCL_U327	Q54585459
CVCL_U363	Q54583406
CVCL_U656	Q54608893
CVCL_U698	Q54605948
CVCL_U701	Q54609436
CVCL_U823	Q54582794
CVCL_U825	Q54584431
CVCL_V553	Q54609537
CVCL_VG23	Q54605145
CVCL_VG24	Q54605149
CVCL_VI31	Q54582592
CVCL_VI48	Q54582172
CVCL_W191	Q54607053
CVCL_W218	Q54607041
CVCL_W343	Q54602872
CVCL_W643	Q54582352
CVCL_X494	Q54606801
CVCL_X763	Q54609544
CVCL_X765	Q54609718
CVCL_X766	Q54609720
CVCL_X983	Q54606438
CVCL_X984	Q54606440
CVCL_Y396	Q54584033
CVCL_Y401	Q54584045
CVCL_Y403	Q54584049
CVCL_Y409	Q54584060
CVCL_Y411	Q54584170
CVCL_Y415	Q54584172
CVCL_Y477	Q54607718
CVCL_Y556	Q54583397
CVCL_Y921	Q54606179
CVCL_Y943	Q54606098
CVCL_Y945	Q54606103
CVCL_Z025	Q54608239
CVCL_Z896	Q54581037
CVCL_Z968	Q54607691
CVCL_Z973	Q54607705
CVCL_0152	Q54750736
CVCL_0156	Q54752291
CVCL_0158	Q54752433
CVCL_0174	Q54797469
CVCL_0176	Q54798050
CVCL_0177	Q54798281
CVCL_0182	Q54798657
CVCL_0183	Q54752958
CVCL_0185	Q54796105
CVCL_0187	Q54799736
CVCL_0209	Q54809343
CVCL_0235	Q54808377
CVCL_0606	Q54798280
CVCL_0A00	Q54797482
CVCL_0B37	Q54752843
CVCL_0B39	Q54749225
CVCL_0C42	Q54797320
CVCL_0C57	Q54749093
CVCL_0D76	Q54750460
CVCL_0E73	Q54808931
CVCL_0E76	Q54796342
CVCL_0F51	Q54808798
CVCL_0F61	Q54808930
CVCL_0J02	Q54752800
CVCL_0J05	Q54752813
CVCL_0J23	Q54798130
CVCL_0J30	Q54809057
CVCL_0J60	Q54748877
CVCL_0J92	Q54740424
CVCL_0K02	Q54746355
CVCL_0K03	Q54746356
CVCL_0K12	Q54746806
CVCL_0K15	Q54746812
CVCL_0K18	Q54746858
CVCL_0K51	Q54747019
CVCL_0K53	Q54747021
CVCL_0K57	Q54747030
CVCL_0K63	Q54747039
CVCL_0K64	Q54747055
CVCL_0K66	Q54747165
CVCL_0K68	Q54747168
CVCL_0K73	Q54747201
CVCL_0K76	Q54747228
CVCL_0K81	Q54747348
CVCL_0K83	Q54747353
CVCL_0K86	Q54747358
CVCL_0K90	Q54747386
CVCL_0L18	Q54747665
CVCL_0L21	Q54747671
CVCL_0L27	Q54747683
CVCL_0L33	Q54747695
CVCL_0L41	Q54747709
CVCL_0L44	Q54747714
CVCL_0L65	Q54745786
CVCL_0L71	Q54745262
CVCL_0L80	Q54745474
CVCL_0N58	Q54740333
CVCL_0N65	Q54740532
CVCL_0N68	Q54740697
CVCL_0N71	Q54742531
CVCL_0N74	Q54742539
CVCL_0N85	Q54743333
CVCL_0N89	Q54744315
CVCL_0N92	Q54744392
CVCL_0N94	Q54744438
CVCL_0Q94	Q54743372
CVCL_0U11	Q54809279
CVCL_0U18	Q54798298
CVCL_0U20	Q54798300
CVCL_0U66	Q54748594
CVCL_0U68	Q54748598
CVCL_0U74	Q54748611
CVCL_0U86	Q54739976
CVCL_0U88	Q54740162
CVCL_0U90	Q54741307
CVCL_1071	Q54749799
CVCL_1073	Q54751288
CVCL_1081	Q54795852
CVCL_1090	Q54797948
CVCL_1094	Q54799738
CVCL_1096	Q54808117
CVCL_1102	Q54808305
CVCL_1955	Q54752935
CVCL_1973	Q54808616
CVCL_1E46	Q54808424
CVCL_1G33	Q54808186
CVCL_1G39	Q54751307
CVCL_1G65	Q54750952
CVCL_1H12	Q54808360
CVCL_1Q43	Q54748703
CVCL_1U09	Q54808587
CVCL_1Y51	Q54742064
CVCL_2296	Q54748649
CVCL_2298	Q54751232
CVCL_2303	Q54796390
CVCL_2311	Q54796529
CVCL_2325	Q54808799
CVCL_2334	Q54808812
CVCL_2343	Q54808821
CVCL_2344	Q54808822
CVCL_2349	Q54808867
CVCL_2350	Q54808827
CVCL_2359	Q54808842
CVCL_2365	Q54808851
CVCL_2367	Q54808854
CVCL_2372	Q54808859
CVCL_2387	Q54808887
CVCL_2390	Q54808893
CVCL_2392	Q54808896
CVCL_2393	Q54808897
CVCL_2862	Q54752018
CVCL_2865	Q54795342
CVCL_2B17	Q54739769
CVCL_2B55	Q54740019
CVCL_2B63	Q54740134
CVCL_2B75	Q54740255
CVCL_2B84	Q54740277
CVCL_2B87	Q54740282
CVCL_2B89	Q54740287
CVCL_2B90	Q54740288
CVCL_2B94	Q54740312
CVCL_2B96	Q54740315
CVCL_2B98	Q54740318
CVCL_2C05	Q54740446
CVCL_2C10	Q54740466
CVCL_2C16	Q54740571
CVCL_2C32	Q54740706
CVCL_2C35	Q54740713
CVCL_2C41	Q54741117
CVCL_2C50	Q54741165
CVCL_2C61	Q54741498
CVCL_2C78	Q54742580
CVCL_2C84	Q54742723
CVCL_2C92	Q54742738
CVCL_2C96	Q54742844
CVCL_2C98	Q54742850
CVCL_2D13	Q54742993
CVCL_2D20	Q54743065
CVCL_2D32	Q54743131
CVCL_2D35	Q54743213
CVCL_2D36	Q54743215
CVCL_2D37	Q54743217
CVCL_2D40	Q54743222
CVCL_2D46	Q54743528
CVCL_2D49	Q54743584
CVCL_2D50	Q54743587
CVCL_2D63	Q54743648
CVCL_2D73	Q54743776
CVCL_2D94	Q54743839
CVCL_2E02	Q54743948
CVCL_2E08	Q54743974
CVCL_2E36	Q54744169
CVCL_2E38	Q54744172
CVCL_2E39	Q54744175
CVCL_2E47	Q54744194
CVCL_2E57	Q54744232
CVCL_2E59	Q54744322
CVCL_2E74	Q54744380
CVCL_2E84	Q54744489
CVCL_2E87	Q54744495
CVCL_2F26	Q54744624
CVCL_2F45	Q54744720
CVCL_2F46	Q54744723
CVCL_2F68	Q54744775
CVCL_2F83	Q54744859
CVCL_2F97	Q54744890
CVCL_2G04	Q54744905
CVCL_2G06	Q54744911
CVCL_2G22	Q54745013
CVCL_2G23	Q54745015
CVCL_2G34	Q54745046
CVCL_2G39	Q54745166
CVCL_2G46	Q54745915
CVCL_2G48	Q54745920
CVCL_2G52	Q54745980
CVCL_2I12	Q54743266
CVCL_2I41	Q54740544
CVCL_2I49	Q54741994
CVCL_2I56	Q54740600
CVCL_2I62	Q54741317
CVCL_2I63	Q54741319
CVCL_2I71	Q54741442
CVCL_2I73	Q54741465
CVCL_2I76	Q54745894
CVCL_2I89	Q54743463
CVCL_2J12	Q54744058
CVCL_2J25	Q54744247
CVCL_2J28	Q54744319
CVCL_2J46	Q54745500
CVCL_2J50	Q54745509
CVCL_2J53	Q54745515
CVCL_2J57	Q54745522
CVCL_2J60	Q54745527
CVCL_2J67	Q54745579
CVCL_2J76	Q54745599
CVCL_2J91	Q54745632
CVCL_2J92	Q54745634
CVCL_2J98	Q54745648
CVCL_2K14	Q54745734
CVCL_2K15	Q54745736
CVCL_2K16	Q54745738
CVCL_2K31	Q54745770
CVCL_2K36	Q54745782
CVCL_2K40	Q54745846
CVCL_2K41	Q54745849
CVCL_2K45	Q54745859
CVCL_2K49	Q54745867
CVCL_2K55	Q54745913
CVCL_2K61	Q54746005
CVCL_2K74	Q54746030
CVCL_2K84	Q54746080
CVCL_2K86	Q54746084
CVCL_2K88	Q54746086
CVCL_2K89	Q54746091
CVCL_2L12	Q54746131
CVCL_2L14	Q54746135
CVCL_2L33	Q54746229
CVCL_2L35	Q54746234
CVCL_2L44	Q54746273
CVCL_2L58	Q54747869
CVCL_2L79	Q54741102
CVCL_2L90	Q54741477
CVCL_2L98	Q54741509
CVCL_2M18	Q54741866
CVCL_2M21	Q54741878
CVCL_2M28	Q54741911
CVCL_2M31	Q54741917
CVCL_2M38	Q54742004
CVCL_2M52	Q54742047
CVCL_2M55	Q54742055
CVCL_2M56	Q54742058
CVCL_2M57	Q54742061
CVCL_2M65	Q54742302
CVCL_2M71	Q54742327
CVCL_2M73	Q54742338
CVCL_2M79	Q54742469
CVCL_2M81	Q54742472
CVCL_2M82	Q54743326
